Nombres,Metas,Ventas,Sueldo_Base
Bethany,5442292,8556089,90000
Dolan,5399196,6589314,90000
Vivian,6409422,6106709,90000
Adria,3062333,2642317,90000
Nita,2021085,2537643,90000
Akeem,2038717,4802247,90000
Otto,3116503,6788450,90000
Jesse,5754683,6197053,90000
Jaquelyn,6955531,2542037,90000
Buckminster,3398174,1245061,90000
Ava,3206031,3724408,90000
Yvonne,5438321,9025305,90000
Cody,8030522,6850193,90000
Nita,6963922,6451770,90000
Adrian,7911690,1863072,90000
Sydnee,3420973,3041885,90000
Hedy,3411357,8892515,90000
McKenzie,4932850,7906677,90000
Kimberly,5581848,9720620,90000
Shad,7773992,4422303,90000
Neville,6671594,5644920,90000
Jarrod,6259137,9536386,90000
Tanek,2756917,5910316,90000
Blaze,4640711,2302311,90000
Quentin,9994065,6946124,90000
Britanni,5242030,6467660,90000
Yuri,9536040,2350368,90000
Finn,7047700,9690093,90000
Orlando,9395091,7979423,90000
Megan,7299096,1893335,90000
Fleur,6370232,2088494,90000
Shoshana,6994283,8658624,90000
Scott,8807321,4123797,90000
Daniel,4830229,4959694,90000
Theodore,9861823,2882601,90000
Ishmael,4718989,1791011,90000
Sebastian,6850797,5821649,90000
Quamar,4337595,6361826,90000
Abigail,2237206,3050412,90000
Davis,2479820,6736691,90000
Aidan,6108197,2682423,90000
Azalia,5693171,9005278,90000
Richard,3033308,8096086,90000
Tanner,4828183,6148046,90000
Gil,7694041,1294232,90000
Lila,7283873,3421939,90000
Baker,5930103,9147965,90000
Ivy,7297453,2077125,90000
Claire,4341732,5122093,90000
Solomon,6066770,8020548,90000
Kadeem,6440476,1661670,90000
Marshall,3954312,9855539,90000
Megan,5294090,1762230,90000
Jesse,8228727,4741569,90000
Hilel,3630217,7447312,90000
Henry,6809627,9020520,90000
Maggie,2482900,9005958,90000
Kimberly,2335251,5208460,90000
Miranda,6021646,2269214,90000
Nolan,9302486,4673967,90000
Ciaran,9176011,2010358,90000
Alvin,4185591,1737506,90000
Quyn,7505506,7799061,90000
Kiayada,3880432,3622775,90000
Tyler,6287417,4127047,90000
Erica,6849193,7692357,90000
Evelyn,7725718,9442623,90000
Melyssa,6064778,3097312,90000
Athena,4972185,9758764,90000
Chiquita,7477132,6688238,90000
Tarik,5087976,1049718,90000
Driscoll,7734370,8720638,90000
Colin,2779894,9428962,90000
Haviva,9745716,6851012,90000
Perry,9311348,2443716,90000
Darius,8722830,2020205,90000
Gareth,8182539,4508928,90000
Daphne,5135369,5047370,90000
Joel,4990271,5763295,90000
Sarah,8230958,6042950,90000
Alfonso,8250825,4397916,90000
Allistair,3225171,7323838,90000
Kaye,5085163,4602585,90000
Lee,6174439,1381621,90000
Sylvester,3916336,6223499,90000
Tara,3713044,5497787,90000
Axel,6813587,3586123,90000
Price,7916611,7491336,90000
Brenna,2010468,7193970,90000
Jennifer,3018224,7374040,90000
Basia,6786736,6771505,90000
Neil,4218115,3399567,90000
Brennan,4285981,4343305,90000
Ferdinand,8883883,1880631,90000
Hilary,2142531,5486496,90000
Len,3573479,5535162,90000
Janna,2203287,9832821,90000
Keane,3899372,9084323,90000
Raven,5714128,1767624,90000
Iliana,4544328,3553746,90000
