"Nombres","Metas","Ventas","Sueldo_Base","comision","Sueldo_Bruto","%Ventas_s/total","Bool_Metas"
"Bethany",5442292,8556089,90000,171121.78,261121.78,0.016,FALSE
"Dolan",5399196,6589314,90000,131786.28,221786.28,0.012,FALSE
"Vivian",6409422,6106709,90000,122134.18,212134.18,0.011,TRUE
"Adria",3062333,2642317,90000,52846.34,142846.34,0.005,TRUE
"Nita",2021085,2537643,90000,50752.86,140752.86,0.005,FALSE
"Akeem",2038717,4802247,90000,96044.94,186044.94,0.009,FALSE
"Otto",3116503,6788450,90000,135769,225769,0.013,FALSE
"Jesse",5754683,6197053,90000,123941.06,213941.06,0.011,FALSE
"Jaquelyn",6955531,2542037,90000,50840.74,140840.74,0.005,TRUE
"Buckminster",3398174,1245061,90000,24901.22,114901.22,0.002,TRUE
"Ava",3206031,3724408,90000,74488.16,164488.16,0.007,FALSE
"Yvonne",5438321,9025305,90000,180506.1,270506.1,0.017,FALSE
"Cody",8030522,6850193,90000,137003.86,227003.86,0.013,TRUE
"Nita",6963922,6451770,90000,129035.4,219035.4,0.012,TRUE
"Adrian",7911690,1863072,90000,37261.44,127261.44,0.003,TRUE
"Sydnee",3420973,3041885,90000,60837.7,150837.7,0.006,TRUE
"Hedy",3411357,8892515,90000,177850.3,267850.3,0.016,FALSE
"McKenzie",4932850,7906677,90000,158133.54,248133.54,0.015,FALSE
"Kimberly",5581848,9720620,90000,194412.4,284412.4,0.018,FALSE
"Shad",7773992,4422303,90000,88446.06,178446.06,0.008,TRUE
"Neville",6671594,5644920,90000,112898.4,202898.4,0.01,TRUE
"Jarrod",6259137,9536386,90000,190727.72,280727.72,0.018,FALSE
"Tanek",2756917,5910316,90000,118206.32,208206.32,0.011,FALSE
"Blaze",4640711,2302311,90000,46046.22,136046.22,0.004,TRUE
"Quentin",9994065,6946124,90000,138922.48,228922.48,0.013,TRUE
"Britanni",5242030,6467660,90000,129353.2,219353.2,0.012,FALSE
"Yuri",9536040,2350368,90000,47007.36,137007.36,0.004,TRUE
"Finn",7047700,9690093,90000,193801.86,283801.86,0.018,FALSE
"Orlando",9395091,7979423,90000,159588.46,249588.46,0.015,TRUE
"Megan",7299096,1893335,90000,37866.7,127866.7,0.004,TRUE
"Fleur",6370232,2088494,90000,41769.88,131769.88,0.004,TRUE
"Shoshana",6994283,8658624,90000,173172.48,263172.48,0.016,FALSE
"Scott",8807321,4123797,90000,82475.94,172475.94,0.008,TRUE
"Daniel",4830229,4959694,90000,99193.88,189193.88,0.009,FALSE
"Theodore",9861823,2882601,90000,57652.02,147652.02,0.005,TRUE
"Ishmael",4718989,1791011,90000,35820.22,125820.22,0.003,TRUE
"Sebastian",6850797,5821649,90000,116432.98,206432.98,0.011,TRUE
"Quamar",4337595,6361826,90000,127236.52,217236.52,0.012,FALSE
"Abigail",2237206,3050412,90000,61008.24,151008.24,0.006,FALSE
"Davis",2479820,6736691,90000,134733.82,224733.82,0.012,FALSE
