"Nombres","Metas","Ventas","Sueldo_Base","comision","Sueldo_Bruto","%Ventas_s/total","Bool_Metas"
"Vivian",6409422,6106709,90000,122134.18,222134.18,0.011,TRUE
"Adria",3062333,2642317,90000,52846.34,152846.34,0.005,TRUE
"Jaquelyn",6955531,2542037,90000,50840.74,150840.74,0.005,TRUE
"Buckminster",3398174,1245061,90000,24901.22,124901.22,0.002,TRUE
"Cody",8030522,6850193,90000,137003.86,237003.86,0.013,TRUE
"Nita",6963922,6451770,90000,129035.4,229035.4,0.012,TRUE
"Adrian",7911690,1863072,90000,37261.44,137261.44,0.003,TRUE
"Sydnee",3420973,3041885,90000,60837.7,160837.7,0.006,TRUE
"Shad",7773992,4422303,90000,88446.06,188446.06,0.008,TRUE
"Neville",6671594,5644920,90000,112898.4,212898.4,0.01,TRUE
"Blaze",4640711,2302311,90000,46046.22,146046.22,0.004,TRUE
"Quentin",9994065,6946124,90000,138922.48,238922.48,0.013,TRUE
"Yuri",9536040,2350368,90000,47007.36,147007.36,0.004,TRUE
"Orlando",9395091,7979423,90000,159588.46,259588.46,0.015,TRUE
"Megan",7299096,1893335,90000,37866.7,137866.7,0.004,TRUE
"Fleur",6370232,2088494,90000,41769.88,141769.88,0.004,TRUE
"Scott",8807321,4123797,90000,82475.94,182475.94,0.008,TRUE
"Theodore",9861823,2882601,90000,57652.02,157652.02,0.005,TRUE
"Ishmael",4718989,1791011,90000,35820.22,135820.22,0.003,TRUE
"Sebastian",6850797,5821649,90000,116432.98,216432.98,0.011,TRUE
"Aidan",6108197,2682423,90000,53648.46,153648.46,0.005,TRUE
"Gil",7694041,1294232,90000,25884.64,125884.64,0.002,TRUE
"Lila",7283873,3421939,90000,68438.78,168438.78,0.006,TRUE
"Ivy",7297453,2077125,90000,41542.5,141542.5,0.004,TRUE
"Kadeem",6440476,1661670,90000,33233.4,133233.4,0.003,TRUE
"Megan",5294090,1762230,90000,35244.6,135244.6,0.003,TRUE
"Jesse",8228727,4741569,90000,94831.38,194831.38,0.009,TRUE
"Miranda",6021646,2269214,90000,45384.28,145384.28,0.004,TRUE
"Nolan",9302486,4673967,90000,93479.34,193479.34,0.009,TRUE
"Ciaran",9176011,2010358,90000,40207.16,140207.16,0.004,TRUE
"Alvin",4185591,1737506,90000,34750.12,134750.12,0.003,TRUE
"Kiayada",3880432,3622775,90000,72455.5,172455.5,0.007,TRUE
"Tyler",6287417,4127047,90000,82540.94,182540.94,0.008,TRUE
"Melyssa",6064778,3097312,90000,61946.24,161946.24,0.006,TRUE
"Chiquita",7477132,6688238,90000,133764.76,233764.76,0.012,TRUE
"Tarik",5087976,1049718,90000,20994.36,120994.36,0.002,TRUE
"Haviva",9745716,6851012,90000,137020.24,237020.24,0.013,TRUE
"Perry",9311348,2443716,90000,48874.32,148874.32,0.005,TRUE
"Darius",8722830,2020205,90000,40404.1,140404.1,0.004,TRUE
"Gareth",8182539,4508928,90000,90178.56,190178.56,0.008,TRUE
"Daphne",5135369,5047370,90000,100947.4,200947.4,0.009,TRUE
"Sarah",8230958,6042950,90000,120859,220859,0.011,TRUE
"Alfonso",8250825,4397916,90000,87958.32,187958.32,0.008,TRUE
"Kaye",5085163,4602585,90000,92051.7,192051.7,0.009,TRUE
"Lee",6174439,1381621,90000,27632.42,127632.42,0.003,TRUE
"Axel",6813587,3586123,90000,71722.46,171722.46,0.007,TRUE
"Price",7916611,7491336,90000,149826.72,249826.72,0.014,TRUE
"Basia",6786736,6771505,90000,135430.1,235430.1,0.013,TRUE
"Neil",4218115,3399567,90000,67991.34,167991.34,0.006,TRUE
"Ferdinand",8883883,1880631,90000,37612.62,137612.62,0.003,TRUE
"Raven",5714128,1767624,90000,35352.48,135352.48,0.003,TRUE
"Iliana",4544328,3553746,90000,71074.92,171074.92,0.007,TRUE
